Company,Website,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes
Alabama River Cellulose (Georgia Pacific) Monroeville,gp.com,,800.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Bad Boy Mowers Monroeville,badboymowers.com,57,10.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Webster Fulfillment Monroeville,,250,2.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Lightsource BP,,,21.5,,,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SoGo Packaging LLC,,,12.4,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Browder Veneer Works Inc.,,30,1.5,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Ju-Young Manufacturing America Inc.,,94,15.7,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Lear Corporation,lear.com,,10.9,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Guyoungtech USA Inc.,,20,34.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Hartzell Engine Technologies,,10,0.3,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
CIRG Industries,,70,14.3,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Dotier LLC (Meta),meta.com,70,800.0,,,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Alfa Insurance,,,58.0,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
J.M. Smucker Co.,jmsmucker.com,,28.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
OCI Alabama LLC,,5,19.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Daikin America,,,29.0,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Wolverine Industries,,26,20.4,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
M&J Industries,,44,9.6,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Pro-Fab Machine of Hartselle Hartselle,,40,13.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Cima Solutions LLC Phenix City,,55,4.8,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
NVH Georgia LLC Phenix City,,29,14.7,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Johns Manville Phenix City,,,28.2,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Logan Machine Works Phenix City,,10,1.1,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Edgar's Old Style Bakery Pelham,,40,13.2,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Specification Rubber Pelham,,20,16.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Buckner Trailers Springville,,26,1.5,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
The Distribution Point LLC Moody,,20,3.5,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Prystup Packaging Products Livingston,,42,4.4,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
JW Holdings Dadeville,,68,21.8,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Southern Ionics Incorporated,,7,34.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Microchip Technology Inc.,microchip.com,14,5.0,,,Alabama,Semiconductors,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Tosyali International Ltd.,,40,20.9,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Mercedes-Benz USA LLC Vance,,13,26.7,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Nat 20 Scientific LLC Buhl,,16,0.5,,,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Jasper Lumber Company LLC Jasper,jasperlumber.com,,95.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Jones Machine & Welding Oakman,,25,2.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Cooper Marine Inc. Calvert,,10,2.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
J.M. Smucker Co. Decatur Morgan,jmsmucker.com,,28.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Eli Lilly Huntsville Limestone,lilly.com,450,6000.0,,,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
AAA USA Mobile,aaausa.com,100,1.4,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Alfa Insurance Montgomery,,,58.0,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Primo Mobile,,12,5.8,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Daikin America Decatur Morgan,,,29.0,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Nelson Brothers LLC Parrish Walker,,5,19.4,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
OCI Alabama LLC Decatur Morgan,,5,19.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SCA Inc. Auburn Lee,,13,19.6,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Amazon Oxford Calhoun,amazon.com,70,15.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
APM Terminals Mobile,apmterminals.com,8,58.6,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
CIRG Industries Montgomery,,70,14.3,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Titomic USA Inc. Huntsville Limestone,,60,30.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
M&J Industries Decatur Morgan,,44,9.6,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Qualico Webb Houston,,20,10.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Derichebourg Mobile,,10,0.2,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
GE Aerospace Auburn Lee,ge.com,10,35.3,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
GE Aerospace Huntsville Limestone,ge.com,84,22.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SES Inc. Huntsville Madison,,,17.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
TSA LLC Tuskegee Macon,,30,3.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Kimberly-Clark Mobile,kimberly-clark.com,29,136.7,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Lightsource BP Montgomery,,,21.5,,,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Toyota Tsusho Huntsville Limestone,toyota.com,,163.3,,,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Core Scientific Auburn Lee,corescientific.com,40,424.0,,,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
SmartWiz Birmingham Jefferson,smartwiz.co,66,0.1,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Dotier LLC (Meta) Montgomery,meta.com,70,800.0,,,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Prism Systems Mobile,,52,6.4,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Hadrian,hadrian.co,350,200,Mesa,Maricopa,Arizona,Aerospace & Defense,2026-01,https://www.azcommerce.com/news-events/news/2026/1/hadrian-ribbon-cutting/,AI-powered factories; Factory 3; 290K sq ft
ERMCO,ermco-eci.com,500,,Waddell,Maricopa,Arizona,Energy & Grid,2026-01,https://www.azcommerce.com/news-events/news/2026/1/ermco-manufacturing-facility/,Distribution transformers; first west of Mississippi - GRID
KPPC Advanced Chemicals,kppcgroup.com,80,120,Casa Grande,Pinal,Arizona,Semiconductors,2025-12,https://www.azcommerce.com/news-events/news/2025/12/kanto-ppc-groundbreaking/,Japanese; ultrapure chemicals; growing to 200 jobs
Ascent Aviation Services,ascentmro.com,,70,Marana,Pima,Arizona,Aerospace & Defense,2025-12,https://www.azcommerce.com/news-events/news/2025/12/ascent-grand-opening/,Two widebody hangars; 200% capacity increase
KoMiCo,,50,60,Mesa,Maricopa,Arizona,Semiconductors,2026-01,https://www.azcommerce.com/news-events/news/2026/1/komico-grand-opening/,Korean; semiconductor equipment cleaning; 200 jobs total
Gifthealth,,200,,Mesa,Maricopa,Arizona,Life Sciences & Pharma,2026-01,https://www.azcommerce.com/news-events/news/2026/1/gifthealth-grand-opening/,Digital pharmacy; 43K sq ft; robotic processing
DSV,,160,14.5,Mesa,Maricopa,Arizona,Logistics & Distribution,2026-01,https://www.azcommerce.com/news-events/news/2026/1/dsv-groundbreaking/,Danish; regional HQ; 950K sq ft
AbbVie,abbvie.com,,,Arizona,,Arizona,Life Sciences & Pharma,2026-01,https://www.prnewswire.com/news-releases/abbvie-to-acquire-arizona-manufacturing-facility-further-strengthening-manufacturing-capabilities-in-the-united-states-302658118.html,Acquiring manufacturing facility
TSMC,https://tsmc.com,,165000,Phoenix,Maricopa,Arizona,Semiconductors,2026-01,https://www.cnbc.com/2026/01/16/tsmcs-arizona-chip-expansion-isnt-done-after-us-investment-cfo.html,Taiwanese; $165B total; 6 fabs planned
Amkor Technology,amkor.com,,7000,Peoria,Maricopa,Arizona,Semiconductors,2025-10,https://www.azcommerce.com/news-events/news/2025/10/amkor-technology-breaks-ground-on-new-semiconductor-advanced-packaging-and-test-campus-in-peoria-expands-investment-to-7-billion/,Korean; advanced packaging campus
Mayo Clinic,mayoclinic.org,,1900,Phoenix,Maricopa,Arizona,Life Sciences & Pharma,2025-03,https://www.azcommerce.com/news-events/news/2025/3/mayo-clinic-announces-19-billion-investment-to-expand-in-phoenix/,$1.9B expansion
Eternity Technologies,,,20,Phoenix,Maricopa,Arizona,Battery & Storage,2025-03,https://www.azcommerce.com/news-events/news/2025/3/eternity-technologies-to-establish-north-american-headquarters-and-battery-facility-in-phoenix/,NA HQ + battery facility
Cyclic Materials,https://cyclicmaterials.earth/,,20,Mesa,Maricopa,Arizona,Battery & Storage,2025-04,https://www.azcommerce.com/news-events/news/2025/4/cyclic-materials-to-invest-over-20-million-in-first-us-commercial-facility-in-mesa/,Canadian; rare earth recycling
Komatsu,komatsu.com,,200,Mesa,Maricopa,Arizona,Metals & Steel,2025-04,https://www.azcommerce.com/news-events/news/2025/4/komatsu-breaks-ground-on-major-new-mining-facility-in-mesa/,Japanese; mining equipment
Applied Materials,appliedmaterials.com,,,Chandler,Maricopa,Arizona,Semiconductors,2025-08,https://www.azcommerce.com/news-events/news/2025/8/arizona-commerce-authority-applauds-applied-materials-new-investment-in-chandler/,New investment in Chandler
Brewer Science,,,,Chandler,Maricopa,Arizona,Semiconductors,2025-09,https://www.azcommerce.com/news-events/news/2025/9/brewer-science-expands-us-operations-with-new-office-and-lab-in-chandler/,Office + lab expansion
Dutch Bros,,500,,Tempe,Maricopa,Arizona,Food & Beverage,2025-06,https://www.bizjournals.com/phoenix/news/2025/06/11/dutch-bros-arizona-headquarters-move-from-oregon.html,HQ relocation from Oregon
Kestra Holdings,,,,Tempe,Maricopa,Arizona,Financial Services,2025-10,https://www.azcommerce.com/news-events/news/2025/10/kestra-holdings-expands-national-presence-with-new-secondary-headquarters-in-tempe/,Secondary HQ
Quantum Computing Inc,,,,Tempe,Maricopa,Arizona,Technology,2025-05,https://www.azcommerce.com/news-events/news/2025/5/quantum-computing-inc-celebrates-grand-opening-of-quantum-photonic-chip-foundry-in-tempe/,Quantum photonic chip foundry
KPPC Advanced Chemicals,kppcgroup.com,,,Casa Grande,Pinal,Arizona,Semiconductors,2025-12,https://www.azcommerce.com/news-events/news/2025/12/kanto-ppc-groundbreaking/,Japanese; semiconductor chemicals
Ascent Aviation Services,ascentmro.com,,,Marana,Pima,Arizona,Aerospace & Defense,2025-12,https://www.azcommerce.com/news-events/news/2025/12/ascent-grand-opening/,Aviation services
Cognite,,,,Tempe,Maricopa,Arizona,Technology,2025-12,https://www.azcommerce.com/news-events/news/2025/12/cognite-hq-grand-opening/,Norwegian; industrial AI; HQ
AVAIO Digital Partners,avaio.com,,6000,Little Rock,Pulaski,Arkansas,Data Centers,2026-01,https://www.arkansasedc.com/news-events/newsroom/detail/2026/01/12/avaio-digital-announces-new-large-scale-ai-ready-data-center-and-power-campus-in-little-rock--arkansas,AI-ready data center; $6B phase 1; $21B full build; largest in state history
SPP,,165,,Little Rock,Pulaski,Arkansas,Energy & Grid,2026-01,https://www.arkansasedc.com/news-events/newsroom/detail/2026/01/20/spp-grows-workforce-in-little-rock--arkansas-to-support-regional-market-expansion,Southwest Power Pool; regional market expansion
L3Harris,https://www.l3harris.com/,,,Calhoun County,Calhoun,Arkansas,Aerospace & Defense,2025-11,https://www.arkansasedc.com/news-events/newsroom/detail/2025/11/18/l3harris-breaks-ground-on-arkansas-advanced-propulsion-facilities,Advanced Propulsion Facilities; groundbreaking
R2S,,,,East Camden,Ouachita,Arkansas,Aerospace & Defense,2025-11,https://www.arkansasedc.com/news-events/newsroom/detail/2025/11/21/r2s-opens-new-manufacturing-facility-in-east-camden--arkansas,Tamir and SkyHunter missiles production
Packaging Specialties,,100,24,Fayetteville,Washington,Arkansas,Packaging,2025-11,https://www.arkansasedc.com/news-events/newsroom/detail/2025/11/17/packaging-specialties-expands-in-fayetteville--arkansas,Manufacturing expansion
Tate Inc,,,,Pocahontas,Randolph,Arkansas,Advanced Manufacturing,2025-12,https://www.arkansasedc.com/news-events/newsroom/detail/2025/12/09/tate-opens-new-manufacturing-facility-in-pocahontas--arkansas,New state-of-the-art facility
InnovAsian,innovasiancuisine.com,,105,Jonesboro,Craighead,Arkansas,Food & Beverage,2026-02,https://www.globenewswire.com/news-release/2026/02/03/3231489/0/en/InnovAsian-to-build-175-000-square-foot-food-manufacturing-facility-in-Jonesboro-Arkansas.html,175K sq ft; Nichirei capital contribution
Joby Aviation,https://jobyaviation.com,,0,Marina,Monterey,California,Aerospace & Defense,2025-07,https://www.manufacturingdive.com/news/major-factory-construction-projects-to-watch-in-2026/809448/,Air taxi manufacturing; expanded facility
California Jobs First,,,1600,Statewide,,California,Other,2025,https://www.gov.ca.gov/2026/02/03/governor-newsoms-statewide-jobs-first-investments-created-more-than-61000-jobs-trained-more-than-142000-workers-in-2025/,"$1.6B invested statewide; 61K jobs; 142K trained [Jobs: 61K is statewide program total, not single project]"
Anduril Industries,https://anduril.com,,,Long Beach,Los Angeles,California,Aerospace & Defense,2026-01,https://www.anduril.com/news/anduril-announces-major-california-expansion-with-new-long-beach-campus,1.2M sq ft new campus; autonomous systems
Project Ladybug (Hypersonics),,1850,400.0,Metro Denver,,Colorado,Aerospace & Defense,2025-12,https://oedit.colorado.gov/news/december-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,Propulsion systems; solid rockets; $400M R&D; competing OH/MS/CA
Project Caraway,,53,,Metro Denver,Broomfield,Colorado,Technology,2025-12,https://oedit.colorado.gov/news/december-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,Home upgrade platform; Series A; competing Austin
Project Rey/Oxygen (Semis),,66,15,Colorado Springs,El Paso,Colorado,Semiconductors,2025-10,https://oedit.colorado.gov/news/october-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,Analog/mixed signal; packaging facility; competing CA
Project Captain (Food),,110,,Boulder,Boulder,Colorado,Food & Beverage,2025-10,https://oedit.colorado.gov/news/october-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,International food mfg; competing GA/AZ/TX
GKN Aerospace,,50,,Newington,Hartford,Connecticut,Aerospace & Defense,2025,https://businessfacilities.com/deal-of-the-year-2025-impact-awards/,UK FDI; additive manufacturing; 3D-printed critical aircraft component; first in world
Merck,merck.com,4500,1000,Delaware,,Delaware,Life Sciences & Pharma,2025,https://www.pharmexec.com/view/merck-planning-70-billion-investment-us-expansion,Biologics and Keytruda production; part of $70B US expansion
Williams International,williams-int.com,300,1000,Shoal River,Okaloosa,Florida,Aerospace & Defense,2026-02,https://www.fox10tv.com/2026/02/08/officials-more-than-300-jobs-be-created-by-new-manufacturing-facility-okaloosa-county/,Aviation gas turbine engines; 3-phase construction; high-paying jobs
Otto Aerospace,ottoaviation.com,,500,Jacksonville,Duval,Florida,Aerospace & Defense,2025-06,https://ottoaerospace.com/news/otto-aviation-announces-new-manufacturing-facility-and-headquarters-in-jacksonville-florida/,Phantom 3500 business jet; Cecil Airport; $430M+ state incentives
D-Wave Quantum,,,20.0,Boca Raton,Palm Beach,Florida,Technology,2026-01,https://thequantuminsider.com/2026/01/28/d-wave-moves-headquarters-and-rd-to-florida/,Canadian; HQ relocation from CA; quantum computing; $20M FAU investment
Rivian,rivian.com,7500,5000,Stanton Springs,Morgan,Georgia,Automotive & EV,2026,https://www.manufacturingdive.com/news/major-factory-construction-projects-to-watch-in-2026/809448/,9M sq ft; 400K vehicles/year by 2028; $1.5B state incentives
Preciball USA,,,17.6,,Screven,Georgia,Advanced Manufacturing,2026-02-06,https://www.georgia.org/press-release/preciball-usa-invests-17-million-screven-county,New production facility
Dongwon Autopart Technology,,200,30,,Emanuel,Georgia,Automotive & EV,2026-02-04,https://www.georgia.org/press-release/200-new-jobs-headed-emanuel-county,Korean; new production facility
Grupo Vialume,,150,4.4,,Colquitt-Miller,Georgia,Advanced Manufacturing,2025-12-11,https://www.georgia.org/press-release/grupo-vialume-creates-150-new-manufacturing-jobs-colquitt-miller-county,US manufacturing operations
BioTouch,,480,12.5,Columbus,Muscogee,Georgia,Life Sciences & Pharma,2025-12-04,https://www.georgia.org/press-release/biotouch-adding-480-jobs-columbus,Healthcare logistics expansion
Virginia Transformer,vatransformer.com,400,40,,Effingham,Georgia,Energy & Grid,2025-11-20,https://www.georgia.org/press-release/virginia-transformer-create-400-jobs-effingham-expansion,Transformer manufacturing expansion - GRID PLAY
Salesforce,,,15,,Georgia,Georgia,Technology,2025-11-18,https://www.georgia.org/press-release/salesforce-expand-georgia-footprint,Expanding Georgia presence
Socomec,,300,10,Suwanee,Gwinnett,Georgia,Advanced Manufacturing,2025-11-12,https://www.georgia.org/press-release/socomec-create-300-new-jobs-suwanee,French; electrical components and systems
Underwood Ammo,,120,41,,,Georgia,Advanced Manufacturing,2025-10-01,https://www.georgia.org/press-release/underwood-ammo-create-120-new-manufacturing-jobs,Ammunition manufacturing; new facility
Anovion Technologies,anoviontech.com,400,800,Bainbridge,Decatur,Georgia,Battery & Storage,2025,https://georgia.org/press-release/anovion-technologies-create-over-400-jobs-bainbridge-invest-800m-manufacturing,Anode materials manufacturing
stow Group,,200,36,,Gordon,Georgia,Advanced Manufacturing,2025-08,https://georgia.org/press-release/stow-group-create-200-jobs-gordon-county,Industrial storage and automation; Belgian
Anduril Industries,https://anduril.com,180,60,,Fulton,Georgia,Aerospace & Defense,2025,https://georgia.org/press-release/anduril-industries-invest-60-million-create-180-new-jobs-fulton-county,Defense technology
Archer Aviation,archer.com,1000,,,Newton,Georgia,Aerospace & Defense,2025,https://georgia.org/press-release/electric-vertical-aircraft-manufacturing-company-archer-create-1000-jobs-covington,Electric air taxi manufacturing
Jack Links,,800,,,Houston,Georgia,Food & Beverage,2025,https://georgia.org/press-release/jack-links-create-800-jobs-georgia-manufacturing-facility-houston-county,Meat snacks manufacturing
Steves & Sons,stevesdoors.com,,100,,,Georgia,Other,Building Materials,,https://georgia.org/press-release/manufacturer-steves-sons-inc-invest-over-100-million-jackson-county
GF Casting Solutions,,350,,,Coweta,Georgia,Automotive & EV,2025,https://georgia.org/press-release/georgia-lands-350-new-jobs-e-mobility-manufacturing,Swiss; high pressure die casting for EVs
TMC Transformers,,110,,Waynesboro,Burke,Georgia,Energy & Grid,2025-Q4,https://georgia.org/press-release/tmc-transformers-bring-110-jobs-new-manufacturing-facility-burke-county,Italian; new transformer plant - GRID PLAY
Socomec,,300,,Suwanee,Gwinnett,Georgia,Energy & Grid,2025-Q4,https://georgia.org/press-release/socomec-create-300-new-jobs-suwanee,French; power conversion; hiring Q1 2026 - GRID
