company_name,website,state,sector,capex_millions,notes
ERMCO,ermco-eci.com,Arizona,Grid/Transformers,,Distribution transformers; first west of Mississippi - GRID
KPPC Advanced Chemicals,kppc.com,Arizona,Semiconductors,120,Japanese; ultrapure chemicals; growing to 200 jobs
Ascent Aviation Services,ascentmro.com,Arizona,Aerospace,70,Two widebody hangars; 200% capacity increase
KoMiCo,komico.com,Arizona,Semiconductors,60,Korean; semiconductor equipment cleaning; 200 jobs total
Gifthealth,gifthealth.com,Arizona,Life Sciences/Tech,,Digital pharmacy; 43K sq ft; robotic processing
DSV,dsv.com,Arizona,Logistics,14.5,Danish; regional HQ; 950K sq ft
AbbVie,abbvie.com,Arizona,Life Sciences,,Acquiring manufacturing facility
Mayo Clinic,mayoclinic.org,Arizona,Life Sciences,1900,$1.9B expansion
Eternity Technologies,eternitytechnologies.com,Arizona,Battery,20,NA HQ + battery facility
Komatsu,komatsu.com,Arizona,Mining,200,Japanese; mining equipment
Brewer Science,brewerscience.com,Arizona,Semiconductors,,Office + lab expansion
Dutch Bros,dutchbros.com,Arizona,HQ/Food & Bev,,HQ relocation from Oregon
Kestra Holdings,kestraholdings.com,Arizona,Financial Services,,Secondary HQ
Quantum Computing Inc,quantumcomputinginc.com,Arizona,Tech/Quantum,,Quantum photonic chip foundry
Cognite,cognite.com,Arizona,Tech/AI,,Norwegian; industrial AI; HQ
AVAIO Digital Partners,avaio.com,Arkansas,Data Center/AI,6000,AI-ready data center; $6B phase 1; $21B full build; largest in state history
SPP,spp.org,Arkansas,Energy/Utilities,,Southwest Power Pool; regional market expansion
R2S,r2s.com,Arkansas,Defense/Missiles,,Tamir and SkyHunter missiles production
Packaging Specialties,packagingspecialties.com,Arkansas,Packaging,24,Manufacturing expansion
Tate Inc,tateinc.com,Arkansas,Advanced Mfg,,New state-of-the-art facility
InnovAsian,innovasiancuisine.com,Arkansas,Food Mfg,105,175K sq ft; Nichirei capital contribution
Panasonic,panasonic.com,Kansas,Battery/EV,4000,Japanese; EV battery plant
California Jobs First,,California,Various,1600,$1.6B invested statewide; 61K jobs; 142K trained
Project Ladybug (Hypersonics),ursamajor.space,Colorado,Aerospace/Defense/Hypersonics,,Propulsion systems; solid rockets; $400M R&D; competing OH/MS/CA
Project Caraway,,Colorado,Tech/Software,,Home upgrade platform; Series A; competing Austin
Project Rey/Oxygen (Semis),,Colorado,Semiconductors,15,Analog/mixed signal; packaging facility; competing CA
Project Captain (Food),,Colorado,Food & Bev,,International food mfg; competing GA/AZ/TX
GKN Aerospace,gknaerospace.com,Connecticut,Aerospace,,UK FDI; additive manufacturing; 3D-printed critical aircraft component; first in world
Merck,merck.com,New Jersey,Life Sciences/Pharma,3500,HQ expansion; part of $70B US expansion
Williams International,williams-int.com,Florida,Aerospace/Defense,1000,Aviation gas turbine engines; 3-phase construction; high-paying jobs
Otto Aerospace,ottoaviation.com,Florida,Aerospace,500,Phantom 3500 business jet; Cecil Airport; $430M+ state incentives
D-Wave Quantum,d-wave.com,Florida,Tech/Quantum,,Canadian; HQ relocation from CA; quantum computing; $20M FAU investment
Rivian,rivian.com,Georgia,EV Manufacturing,5000,9M sq ft; 400K vehicles/year by 2028; $1.5B state incentives
Preciball USA,preciball.com,Georgia,Advanced Mfg,17.6,New production facility
Dongwon Autopart Technology,dwat.co.kr,Georgia,Automotive,30,Korean; new production facility
Grupo Vialume,vialume.com,Georgia,Advanced Mfg,4.4,US manufacturing operations
BioTouch,biotouch.com,Georgia,Healthcare/Logistics,12.5,Healthcare logistics expansion
Virginia Transformer,vatransformer.com,Georgia,Grid/Transformers,40,Transformer manufacturing expansion - GRID PLAY
Salesforce,salesforce.com,Georgia,Tech,15,Expanding Georgia presence
Socomec,socomec.com,Georgia,Advanced Mfg,10,French; electrical components and systems
Underwood Ammo,underwoodammo.com,Georgia,Advanced Mfg,41,Ammunition manufacturing; new facility
Anovion Technologies,anoviontech.com,Georgia,Battery/Materials,800,Anode materials manufacturing
stow Group,stow-group.com,Georgia,Automation,36,Industrial storage and automation; Belgian
Archer Aviation,archer.com,Georgia,eVTOL/Aerospace,,Electric air taxi manufacturing
Jack Links,jacklinks.com,Georgia,Food Mfg,,Meat snacks manufacturing
GF Casting Solutions,gf.com,Georgia,Automotive,,Swiss; high pressure die casting for EVs
SynQor,synqor.com,New Hampshire,Defense/Electronics,,Power converters; relocating from MA
Cronus Chemicals,cronuschemicals.com,Illinois,Agribusiness/Clean,2000,$2B ammonia fertilizer; 950K tons/year; carbon capture; 1500-2000 construction jobs
Savencia Cheese USA,savencia.com,Illinois,Food,,French; new production line; retaining 125
Caldwell Group,caldwellinc.com,Illinois,Advanced Mfg,,Lifting equipment mfg expansion
Tangent,tangent.com,Illinois,Advanced Mfg,,Plastic lumber; consolidating operations
Amazon,amazon.com,Indiana,Data Center/AI,15000,AI data center campuses; largest investment in state
Meta,meta.com,Indiana,Data Center/AI,10000,LEAP District; 15 buildings; 1GW facility; groundbreaking today
Roche Diagnostics,roche.com,Indiana,Life Sciences,550,Swiss; CGM manufacturing; hundreds of jobs
John Deere,deere.com,Indiana,Logistics,125,1.2M sq ft distribution center; I-65 access
Kimball Electronics,kimballelectronics.com,Indiana,Advanced Mfg,,Electronics manufacturing expansion
Caterpillar,caterpillar.com,Indiana,Heavy Equipment,5,Facility expansion; completion end of 2026
Sioux Honey,siouxhoney.com,Iowa,Food Processing,130,World's largest beekeeper co-op; Sue Bee brand; $2M forgivable loan
Electro Freeze (H.C. Duke),electrofreeze.com,Iowa,Food Equipment Mfg,7,Relocating from Illinois; 300K sq ft facility; foodservice equipment
TPI Composites,tpicomposites.com,Iowa,Wind Energy,3.2,Wind turbine blades; restarting production; $500K forgivable loan
Robinson Inc,robinsoncompany.com,Iowa,Metal Fabrication,75.8,Relocating from Wisconsin; 800K sq ft facility
LMT Defense,lmtdefense.com,Iowa,Defense,5.5,Lewis Machine & Tool; plating/coating expansion; rifle to cannon barrels
New Horizon Cuisine,newhorizoncuisine.com,Iowa,Food Mfg,14.5,Sauce and flavor manufacturer; 30K sq ft facility
Dexter Laundry,dexter.com,Iowa,Industrial Equipment,22.5,Employee-owned; commercial laundry equipment; paint system expansion
Morrison Weighing Systems,morrisonweighing.com,Iowa,Industrial Equipment,1.5,Relocating from Illinois; weighing/labeling systems
Kraft Heinz,kraftheinzcompany.com,Iowa,Food Processing,48,Oldest Kraft facility; infrastructure modernization; job retention; $2M forgivable loan
Critical Materials Recycling,criticalmaterialsrecycling.com,Iowa,Advanced Mfg/Critical Minerals,,Rare earth recycling; acid-free process; defense applications
HF Rubber,hfrubber.com,Kansas,Industrial Equipment,1.6,$71M economic impact; rubber machinery; 65+ years in Topeka
Three Dog Brands,threedogbrands.com,Kansas,Food,,Pet treats; 87K sq ft facility
GM Fairfax,gm.com,Kansas,Automotive,30,Workforce investment; new vehicle launches
Ford Motor Company,ford.com,Kentucky,Automotive/EV,2000,'Assembly tree' EV platform; transforming LAP; 15-40% faster assembly
GE Appliances,geappliances.com,Kentucky,Advanced Mfg,490,Chinese (Haier); moving washer production from China; part of $3B US investment
Tate Inc./Kingspan,tateinc.com,Kentucky,Data Center,76,Irish; data center interior infrastructure; largest job creation in county in 18 years
Shinsung ST USA,shinsungst.com,Kentucky,Energy Storage,53.5,Korean; energy storage solutions
James Composites,jamescomposites.com,Kentucky,Advanced Mfg,5.8,Marine composites; Tennessee River access
Saronic Technologies,saronic.com,Louisiana,Defense/Autonomous,300,Autonomous surface vessels; avg salary $88K
Walmart,walmart.com,Louisiana,Logistics,330,Distribution center modernization; doubles shipping capacity
SLB,slb.com,Louisiana,Data Center/Tech,30,Digital infrastructure; former GM plant
The Shaw Group,shawgrp.com,Louisiana,Advanced Mfg,,Module fabrication; doubling workforce
Ampirical,ampirical.com,Louisiana,Grid/Engineering,,Power system engineering; 90K sq ft HQ expansion - GRID
Viking Attachments,vikingattachments.com,Louisiana,Advanced Mfg,0.16,Pile drivers; marine/infrastructure
Hut 8,hut8.com,Louisiana,Data Center/AI,10000,$10B AI data center; Google Fluidstack backed
ElementUSA,elementusa.com,Louisiana,Critical Minerals,850,Rare earth and critical mineral refining
Epic Piping,epicpiping.com,Louisiana,Industrial Mfg,25,HQ expansion; nat gas/nuclear/data center markets
Plastipak Packaging,plastipak.com,Louisiana,Packaging,53.8,Manufacturing expansion; Q4 2026 completion
Pipe & Steel Industrial,,Louisiana,Industrial Mfg,,2nd expansion in 2 years
MD Manufacturing 4.0,mdmanufacturing.com,Maryland,Advanced Mfg,,$2M in grants to 24 manufacturers for automation/digitization
Samsung Biologics,samsung.com,Maryland,Life Sciences,,Korean; expanding acquired facility; biologics
Kratos Defense,https://www.kratosdefense.com/,Maryland,Defense/Hypersonic,,55K sq ft; hypersonic systems; payload integration - HYPERSONIC
AstraZeneca,astrazeneca.com,Texas,Life Sciences,445,UK pharma; doubles Lokelma production
Patton/PTI,pattonelectronics.com,Maryland,Defense/Electronics,,Electronics hub; defense/aerospace
Syngene International,syngeneintl.com,Maryland,Life Sciences,,Indian; first US facility; former Emergent plant
TransMedics,transmedics.com,Massachusetts,Life Sciences,,Medical devices; $18M tax incentives; organ transplant tech
DuPont/DDP,dupont.com,Michigan,EV Materials,24.5,EV supply chain; 6000 sq ft expansion
Legacy Port Huron Paper,,Michigan,Advanced Mfg,20,BMI Group subsidiary; food-grade packaging
Volkswagen,volkswagen.com,Michigan,Automotive,13,German; 900+ jobs retained
Utilidata,utilidata.com,Michigan,Grid/Tech,,Grid technology; HQ and Innovation Lab - GRID
MOTIV Bowling,motivbowling.com,Michigan,Advanced Mfg,9,96K sq ft facility; bowling equipment; export hub
Oerlikon,oerlikon.com,Michigan,Advanced Mfg,,Swiss; powder production; aerospace/auto materials; 2028 expansion
Louisiana-Pacific,lpcorp.com,Minnesota,Wood Products,157,Flagship wood products plant; seeking MN Forward Fund aid
Sofidel,sofidel.com,Minnesota,Paper Products,200,Italian; paper towels/tissues; 600K sq ft expansion; FDI - just before cutoff but major
Forgent Power Solutions,forgentpower.com,Minnesota,Grid/Power,,$1.5B IPO; expanding HQ with manufacturing - GRID
Delkor,delkorsystems.com,Minnesota,Advanced Mfg,,22K sq ft expansion; machinery; reshoring wins
Niron Magnetics,https://www.nironmagnetics.com/,Minnesota,Advanced Mfg,,Magnet manufacturing; broke ground Sept 2025
xAI,x.ai,Mississippi,Data Center/AI,20000,Elon Musk; 2GW AI data center MACROHARDRR; operations Feb 2026; largest MS project ever
Entergy Mississippi,entergy.com,Mississippi,Energy/Power/GRID,1200,New power plant; record Warren County investment - GRID
Howard Industries,howard-ind.com,Mississippi,Grid/Transformers,236,Electrical transformer expansion - GRID
BWC Terminals,bwcterminals.com,Mississippi,Energy/Logistics,316,Liquid storage and logistics
Toyota,toyota.com,Kentucky,Automotive,204.4,EV Highlander production; Japanese
Canfor,canfor.com,Mississippi,Forest Products,245,Southern yellow pine sawmill; completion Oct 2026
Missouri Technology Corp,missouritechnology.com,Missouri,Various,,Small business/startup investments creating 8K jobs statewide
SRC Technologies,srctec.com,Missouri,Defense/Electronics,,$1M grant; PCB assembly line; remanufacturing
Bozeman Photonics,bozemanphotonics.com,Montana,Photonics/Advanced Mfg,,New facility; photonics industry; MSU talent pipeline
BD (Becton Dickinson),bd.com,Nebraska,Life Sciences/Medical,110,Glass prefillable syringes; GLP-1 drug demand; supply mid-2026
Hitchiner,hitchiner.com,New Hampshire,Aerospace/Auto,,57K sq ft; casting-based components; aerospace/auto
Celltrion,celltrion.com,New Jersey,Life Sciences,18000,Korean; $18B over 10 years; 132K liter capacity; acquired facility
CMP Advanced Mechanical Solutions,cmpams.com,New York,Battery,8.8,Canadian; battery storage manufacturing; modernization
Reju,reju.com,New York,Advanced Mfg,390,French; textile regeneration hub; Eastman Business Park; circular economy
JetZero,jetzero.aero,North Carolina,Aerospace,4700,All-wing Z4 aircraft; largest job announcement in NC history; HQ moving from CA
Johnson & Johnson,jnj.com,North Carolina,Life Sciences,2000,2nd major Wilson facility; oncology/neurological drugs
Scout Motors,scoutmotors.com,North Carolina,Automotive,206,VW subsidiary; EV HQ; $172K avg salary
Environmental Air Systems,environmentalairsystems.com,North Carolina,Advanced Mfg,20,HVAC modular mfg; Comfort Systems subsidiary
Maersk,maersk.com,North Carolina,Logistics,16,Danish; NA HQ; shipping/logistics
FIT Precast,fitprecast.com,North Carolina,Advanced Mfg,102,Concrete products HQ; most advanced precast facility in US
Aspida Financial,aspidafinancial.com,North Carolina,Financial Services,28,Life insurance/annuity; HQ relocation
Chatsworth Products,chatsworth.com,North Carolina,Data Center Infrastructure,15,Employee-owned; server racks/cable management; 100K sq ft expansion
Genentech,gene.com,North Carolina,Life Sciences,700,Roche subsidiary; first East Coast plant; biologics
Novartis,novartis.com,North Carolina,Life Sciences,771,Swiss; gene therapies; $111K avg salary
Pennsylvania Transformer Technology,patransformer.com,North Carolina,Grid,102.5,Domestic transformer mfg - GRID! 🔌
BorgWarner,borgwarner.com,North Carolina,Automotive,75,Industrial products; advanced manufacturing
CITEL America,citel.us,North Carolina,Advanced Mfg,12.5,French; surge protection; NA HQ relocation
Roche,roche.com,North Carolina,Life Sciences,2000,Doubled investment from $700M to $2B
Novartis Gene Therapies,novartis.com,North Carolina,Life Sciences,540,Swiss; gene therapies
Pacific Life Insurance,pacificlife.com,North Carolina,Financial Services,12.3,
AWS,aws.amazon.com,Ohio,Data Center,10000,$10B additional; $23B total by 2030
Honda/LG Battery,honda.com,Ohio,Automotive/EV,4200,$3.5B battery plant + $700M retooling
Louis Dreyfus Company,ldc.com,Ohio,Food/Agribusiness,541,Soybean processing; crushing/refining/lecithin
Nestlé Purina,purina.com,Ohio,Food/Pet Food,550,1.2M sqft; dry dog/cat food; South Afton Industrial Park
Pharmavite,pharmavite.com,Ohio,Life Sciences,200,Nature Made gummies; 225K sqft
Sheetz,sheetz.com,Ohio,Food/Distribution,150,500K sqft food prep/distribution; spring 2026 completion
Medpace,medpace.com,Ohio,Life Sciences/CRO,150,250K sqft office; 1000-space garage; HQ expansion
Great Day Improvements,greatdayimprovements.com,Ohio,Manufacturing,,583 Sharonville + 412 Cleveland; home improvement
Smucker's,jmsmucker.com,Ohio,Food/R&D,13,R&D facility; Uncrustables brand
Resilience,resilience.com,Ohio,Life Sciences/Biopharma,,190K sqft; device assembly; total ~1000 workers
BJ's Wholesale Club,bjs.com,Ohio,Logistics,126,Ambient distribution center; first OH facility
Encore Technologies,encoretg.com,Ohio,Tech/Data Center,2,Data center colocation; $18M payroll; 273 retained
New Horizons Baking,newhorizonsbaking.com,Ohio,Food/Mfg,13.5,Muffin line; 20K sqft cold storage
EGLO USA,eglo.com,Ohio,Distribution,0.15,Austrian lighting company; new US HQ
Diversified Fall Protection,fallpd.com,Ohio,Advanced Mfg,2.2,Fall protection systems; consolidation; 68 retained
Crocs,crocs.com,Ohio,Logistics,,550K sqft distribution center; replaced CA facility
Gabe's,gabesdiscount.com,Ohio,Logistics,77.5,850K sqft distribution center; 800-1000 jobs planned
NSG Group/Pilkington,nsg.com,Ohio,Advanced Mfg/Solar,,Solar glass supplier to First Solar; Toledo Glass City
PureCycle Technologies,purecycle.com,Ohio,Advanced Mfg/Recycling,,Plastic recycling; P&G technology; $750K JobsOhio grant
AMG Vanadium,amg-v.com,Ohio,Advanced Mfg/Metals,200,Vanadium recycling; doubles capacity; 500-600 construction
Honeywell Intelligrated,honeywell.com,Ohio,Tech/Automation,12.2,R&D + manufacturing; exceeded 238 job target by 750
Upstart,upstart.com,Ohio,Tech/Fintech,0.7,AI lending platform; R&D center; Google founders
Crown Equipment,crown.com,Ohio,Advanced Mfg,,Forklift mfg expansion; 85% vertical integration
MRI Software,mrisoftware.com,Ohio,Tech/SaaS,,Real estate software; doubling 100K sqft HQ
Oculii,oculii.com,Ohio,Tech/Autonomous,,Radar for autonomous vehicles; Wright State spinout
GEALAN,gealan.de,Ohio,Distribution,0.7,German window systems; new US HQ
Aerospace Lubricants,aerospacelubricants.com,Ohio,Energy/Chemicals,5,Specialty greases; aerospace/defense; 37 retained
Lubrizol,lubrizol.com,Ohio,Energy/Chemicals,50,HQ consolidation; 1000+ employees; 100 year anniversary
RUPES USA,rupes.com,Ohio,Advanced Mfg,15,Italian company; polishing tools; new US facility
Riverain Technologies,riveraintech.com,Ohio,Healthcare/AI,,Medical imaging AI; radiology tools; 29 retained
Supply Technologies,supplytech.com,Ohio,Logistics,5.75,375K sqft distribution center; robotic automation; 38 retained
Joby Aviation (2nd facility),jobyaviation.com,Ohio,Aerospace/eVTOL,,700K+ sqft; doubles production to 4 aircraft/month
Hims & Hers,forhims.com,Ohio,Healthcare/Digital,200,Digital health; pharmacy/fulfillment; doubling footprint
Revere Plastics Systems,eveairmobility.com,Ohio,Advanced Mfg,111,Injection molding; data center battery components; 268 retained
LEWCO/LogistiQ,lewcoinc.com,Ohio,Advanced Mfg,24,Conveyors/industrial ovens; e-commerce/parcel logistics
Salvagnini America,salvagninigroup.com,Ohio,Advanced Mfg,6,Italian company; sheet metal automation; 118 retained
La Linea Verde,lalineaverde.it,Ohio,Food/Agri,10,Italian agri-food; pre-packaged salads; first US facility
Poly6 Technologies,poly6.com,Ohio,Advanced Mfg/Aerospace,20.5,Ceramic additive mfg; turbine engine airfoils
SencorpWhite,sencorpwhite.com,Ohio,Advanced Mfg,16,Automated storage solutions; new US HQ from New England
Imasen Bucyrus Technology,imasen.co.jp,Ohio,Automotive,15.3,Japanese; EV seat mechanisms; Honda/Subaru; 228 retained
Ohio Lumex,ohiolumex.com,Ohio,Energy/Tech,9,Gas/emissions measurement; energy infrastructure; 57 retained
Wieland Chase,wieland.com,Ohio,Advanced Mfg,28,German; brass/ordnance wire; ammunition; 277 retained
Vultr,vultr.com,Ohio,Data Center/AI,901,$1B data center; GPU capacity; AI infrastructure
Westrafo America,westrafo.com,Ohio,Grid/Transformers,15,Italian; power transformers; 233K sqft; 12 GW capacity by 2027
Vallourec,vallourec.com,Ohio,Energy/Mfg,39,French; seamless pipe; premium threading; $1.5B invested in OH over 15 years
Joby Aviation (propeller blades),jobyaviation.com,Ohio,Aerospace/eVTOL,,Propeller blade manufacturing; supports 500 aircraft/year
LayerZero Power Systems,layerzero.com,Ohio,Grid/Data Center,14,Data center power equipment; 120K sqft expansion; 278 retained
Whirlpool,whirlpool.com,Ohio,Advanced Mfg,300,Next-gen washers/dryers; up to 600 jobs
Steves & Sons,eveairmobility.com,Georgia,Jackson,100,https://georgia.org/press-release/manufacturer-steves-sons-inc-invest-over-100-million-jackson-count
TMC Transformers,tmctransformers.com,Georgia,Grid/Transformers,,Italian; new transformer plant - GRID PLAY
Flock Safety,flocksafety.com,Georgia,Tech/Security,10,Security camera manufacturing
Red Cedar Steel,redcedarsteel.com,Iowa,Advanced Mfg,8,Steel fabrication; IEDA board approved
Hyundai Steel,hyundai.com,Louisiana,Steel/Metals,5800,Korean; first NA manufacturing; Platinum Deal of Year
Moderna,modernatx.com,Massachusetts,Life Sciences,140,mRNA vaccines; manufacturing expansion; hundreds of jobs
Various AI Data Centers,,Nevada,Data Center/AI,3000,$3B in new AI data center investments; federal Tech Hub designation
Switch,switch.com,Nevada,Data Center,85.5,176 acres at Apex Industrial Park; expansion
Eco King Solutions (Kingsun),kingsun.com,North Carolina,Advanced Mfg,80.5,Chinese; biodegradable paper tableware; first US facility
Citigroup Technology,citigroup.com,North Carolina,Financial Services,16,Tech hub; $130K avg salary
(Data center development),eveairmobility.com,North Dakota,Data Center,,Data center development in rural areas; housing impact noted
Axium Packaging,axiumpackaging.com,Ohio,Advanced Mfg,45,Canadian; plastic packaging; personal care industry
Becker Mining,bfrg.com,Ohio,Advanced Mfg,4.25,German; mining systems; reshoring from Poland; new NA HQ
ATSG/AMES,atsginc.com,Ohio,Aerospace,0.25,Aviation maintenance; cargo aircraft; 653 retained
PRC-Saltillo,prc-saltillo.com,Ohio,Tech/Healthcare,1.8,Assistive communication devices; AAC; 226 retained
EPC-Columbia,epccompanies.com,Ohio,Advanced Mfg,13.5,Injection molding; Honda/Ford/GM supplier; 300K sqft
U.S. Bridge,usbridge.com,Ohio,Advanced Mfg/Infrastructure,6.4,Bridge manufacturing; 70K sqft new facility; 69 retained
Centrus/Fluor,centrusenergy.com,Ohio,Nuclear/Energy,900,$900M DOE HALEU task order; uranium enrichment
Pacific Manufacturing,pacmfg.com,Ohio,Automotive/EV,,Japanese; EV components; hiring ramp 2026
Ohio Gratings,ohiogratings.com,Ohio,Advanced Mfg,,Metal bar grating manufacturer
Vaughn Industries,vaughnindustries.com,Ohio,Electrical/Renewables,,120K sqft; electrical-mechanical contractor
Wieland Group,wieland.com,Ohio,Metals,28,German; brass alloys
Google,google.com,Oklahoma,Data Center/AI,9000,Cloud and AI infrastructure expansion
Mecad USA,mecad.com,Oklahoma,Advanced Mfg,13.4,Global advanced manufacturing; US HQ; automation focus
Apple,apple.com,Oregon,Technology,,Part of $500B US expansion; teams expanding
Mitsubishi Electric Power Products,mitsubishielectric.com,Pennsylvania,Grid/Energy,86,Japanese; new factory + testing lab; $6.7M state investment - GRID
First Quality,firstquality.com,Pennsylvania,Advanced Mfg,142,Manufacturing expansion; 2441 jobs retained
Eurofins Lancaster Labs,eurofins.com,Pennsylvania,Life Sciences,148,French; 300K sq ft lab/office expansion; $2.1M state investment
QuaLex Manufacturing,qualexmfg.com,Pennsylvania,Advanced Mfg,1.3,Sheet metal fabrication; fire truck assemblies
Quonset Business Park,quonset.com,Rhode Island,Various,,$7B economic impact; major industrial park; ongoing growth
Isuzu North America,isuzucv.com,South Carolina,Auto,280,Japan FDI; new US manufacturing base
DartPoints,dartpoints.com,South Carolina,Data Center,130,Data center expansion
Safe Industries,safeindustries.com,South Carolina,Industrial,50,
Vermeer Corp,vermeer.com,South Carolina,Industrial Equipment,28,135K sq ft expansion; production and training
Span-America Medical,spanamerica.com,South Carolina,Medical Devices,20,Manufacturing expansion
KADIA USA,kadia.de,South Carolina,Industrial,,German FDI; HQ relocation from Michigan
Aran USA,aran.ie,South Carolina,Industrial,4,16K sq ft expansion; doubling capacity
Georg Utz,utzgroup.com,South Carolina,Advanced Mfg,,Swiss; plastic containers; first SC operation
Coastal Precast Systems,coastalprecast.com,South Carolina,Advanced Mfg,,Precast concrete for bridges/marine
Hydrite Chemical,hydrite.com,South Carolina,Chemicals,,Chemical solutions expansion
Huwell US,huwell.com,South Carolina,Consumer Products,,Korean; cosmetics/hair care; first US operation
JGB Brothers,jgbbrothers.com,South Carolina,Food,,Food fibers manufacturer
Ironline Metals,meta.com,South Carolina,Advanced Mfg,,Steel framing products expansion
MCIS,,South Carolina,Data Center,7.4,Data center solutions; conveyance systems
Fenner Precision Polymers,fennerprecision.com,South Carolina,Advanced Mfg,,Reinforced polymer technology
Coastal Ready Mix,coastalreadymix.com,South Carolina,Advanced Mfg,4.6,Concrete manufacturer
Woodward,woodward.com,South Carolina,Aerospace/Industrial,200,Energy control solutions
Rolls-Royce,rolls-royce.com,South Carolina,Aerospace,75,MTU engine manufacturing; UK
WiJo Pouches NA,wijopouches.com,South Carolina,Consumer,13.5,Norwegian; modern oral pouches; first NA facility
(Data center pipeline),,South Dakota,Data Center,,State considering data center incentives; 37 states offer them
LIS Technologies,,Tennessee,Energy/Nuclear,1380,Laser uranium enrichment; $1.38B
Heil Trailer International,,Tennessee,Advanced Mfg,9.8,Trailer manufacturing expansion
ALUKO Group,,Tennessee,Advanced Mfg,110,Second US facility
Korea Zinc,,Tennessee,Metals,6600,First US operations; Korean FDI; MASSIVE
CDF Distributors,,Tennessee,Advanced Mfg,26,Relocating HQ to TN
Carlex Glass America,,Tennessee,Advanced Mfg,55,Glass manufacturing expansion
Hyosung HICO,,Tennessee,Grid/Transformers,150,Korean transformer maker; 2nd expansion in 6 months!
Anatolia Cabinet,,Tennessee,Advanced Mfg,10,New manufacturing facility
Aqua Membranes,,Tennessee,Advanced Mfg,6.5,Water filtration membranes; new TN presence
Biederman,,Tennessee,Advanced Mfg,4.4,First US location
Radiant,,Tennessee,Energy/Nuclear,280,World's first mass-produced nuclear generator factory!
Nidec,,Tennessee,Advanced Mfg,50,Japanese motor manufacturer expansion
BWXT Nuclear Fuel Services,bwxt.com,Tennessee,Energy/Nuclear/Defense,122,Nuclear fuel for naval defense; since 1950s
Microtex Composites,,Tennessee,Advanced Mfg,3.8,Italian; first US facility; automotive/aerospace composites
Samsung,samsung.com,Texas,Semiconductors,4730,2nm chips; $250M TSIF grant
Scotiabank,scotiabank.com,Texas,Financial Services,60,Canadian bank; regional office; $10.7M TEF
Prysmian/Encore Wire,,Texas,Grid/Wire,500,Italian; copper wire/cable expansion - GRID
Bridor USA,bridor.com,Texas,Food,410,French-Canadian; industrial bakery
GCP Paper,,Texas,Advanced Mfg,400,Tissue manufacturing
Ferrovial,,Texas,Energy/Solar,355,Spanish; 250MW solar; 450 GWh annually
SpaceX,https://spacex.com,Texas,Aerospace/Semiconductors,280,Semiconductor R&D; $17.3M TSIF grant
Vantage Data Centers,,Texas,Data Center,272,Hyperscale data center
NNA Polymers,,Texas,Chemicals,250,Water-soluble polymers; oilfield
SPC Group,spcgroup.co.kr,Texas,Food,208,Korean; Paris Baguette bakery
Ninth Avenue Foods,ninthavefoods.com,Texas,Food,200,Dairy; 3rd facility
MGC Pure Chemicals,mgc.co.jp,Texas,Semiconductors,150,Japanese; $5.3M TSIF grant
Applied Optoelectronics,,Texas,Tech/Data Center,150,Optical transceivers for AI
Formosa Plastics,,Texas,Chemicals,150,Taiwanese; C6 feedstock
MTU Aero Engines,mtu.de,Texas,Aerospace,120,German; jet engine expansion
E-Space,,Texas,Aerospace/Space,115,Satellite HQ and manufacturing
Linde,linde.com,Texas,Chemicals,100,Irish; industrial gas; SpaceX supplier
Bionova,,Texas,Life Sciences,100,Cell manufacturing
Select Water/Mariana Minerals,,Texas,Energy/Lithium,100,Lithium extraction plant
Inventec,inventec.com,Texas,Tech,85,Taiwanese; AI server manufacturing
Embraer,embraer.com,Texas,Aerospace,70,Brazilian; MRO facility
Rowan Digital,,Texas,Data Center,700,Hyperscale data center
MGM/VanTran Transformers,gm.com,Texas,Grid/Transformers,,430K sqft facility - GRID PLAY
Salcomp,salcomp.com,Texas,Tech,,Finnish; mobile power supplies; US HQ
L&T Technology,ltts.com,Texas,Tech,,Indian; engineering design center
Lefko,,Texas,Advanced Mfg,15,First US facility; $968K TEF
NTxBio,,Texas,Life Sciences,31,Biomanufacturing; $1.48M TEF
PEGATRON,pegatron.com,Texas,Tech,35,Taiwanese; AI computing; first US facility
Gattefossé,,Texas,Life Sciences,55,French; beauty/pharma ingredients
Gerdau,,Texas,Advanced Mfg,51,Brazilian; steel recycling expansion
BMK Pharma,,Texas,Life Sciences,50,US HQ; pharmaceutical
Yerico Manufacturing,yerico.com,Texas,Semiconductors,13,Semiconductor equipment refurb; $1.3M TSIF
Cancoil USA,,Texas,Industrial Mfg,,First US operations center
Ariat International,,Texas,Consumer/Apparel,9,Regional HQ expansion
Innovative Labs,,Utah,Life Sciences,,CDMO; health and wellness manufacturing
Bridor,bridor.com,Utah,Food,229,French-Canadian; bakery; 13-year plan
MCM Engineering II,,Utah,Grid/Switchgear,168,Custom MV/LV switchgear; 10-year plan - GRID!
Holtec/Hi Tech Solutions,,Utah,Nuclear/SMR Mfg,,Operation Gigawatt; SMR component manufacturing; workforce training
BAE Systems,https://www.baesystems.com/,Utah,Defense/Aerospace,,UK; new office; ICBM support
Ionic Mineral Technologies,,Utah,Critical Minerals,,Silicon Ridge project; rare earth; $29M Series B
Integrated Rail & Resources,,Utah,Rail/Resources,87,Railway and resource expansion
Solstice Advanced Materials,,Virginia,Advanced Materials,220,$2M performance grant; $1.5M Opportunity Fund
