Company,Website,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes,FDI_Origin
AAA USA,aaausa.com,100,1.4,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Alabama River Cellulose (Georgia Pacific) Monroeville,gp.com,3000,800,Monroeville,Monroe,Alabama,Paper & Forest Products,2025,https://news.gp.com/2025/09/georgia-pacific-announces-800-million-capital-investment-in-alabama-river-cellulose-mill,Same as Georgia Pacific entry - major cellulose mill modernization,
Bad Boy Mowers Monroeville,badboymowers.com,57,10.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Webster Fulfillment Monroeville,,250,2.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Lightsource BP,,50,21.5,,,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
SoGo Packaging LLC,,50,12.4,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Browder Veneer Works Inc.,,30,1.5,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Ju-Young Manufacturing America Inc.,,94,15.7,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Lear Corporation,lear.com,100,10.9,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Guyoungtech USA Inc.,guyoungtech.com,20,34.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Hartzell Engine Technologies,,10,0.3,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
CIRG Industries,,70,14.3,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Dotier LLC (Meta),meta.com,70,800.0,,Montgomery,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Alfa Insurance,alfains.com,200,58.0,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
J.M. Smucker Co.,jmsmucker.com,75,28.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
OCI Alabama LLC,,5,19.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Daikin America,daikin.com,100,29.0,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,Japan
Wolverine Industries,,26,20.4,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
M&J Industries,,44,9.6,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Pro-Fab Machine of Hartselle Hartselle,,40,13.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Cima Solutions LLC Phenix City,,55,4.8,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
NVH Georgia LLC Phenix City,,29,14.7,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Johns Manville Phenix City,jm.com,100,28.2,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Logan Machine Works Phenix City,,10,1.1,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Edgar's Old Style Bakery Pelham,,40,13.2,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Specification Rubber Pelham,,20,16.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Buckner Trailers Springville,,26,1.5,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
The Distribution Point LLC Moody,,20,3.5,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Prystup Packaging Products Livingston,,42,4.4,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
JW Holdings Dadeville,,68,21.8,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Southern Ionics Incorporated,southernionics.com,7,34.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Microchip Technology Inc.,microchip.com,14,5.0,,,Alabama,Semiconductors,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Tosyali International Ltd.,,40,20.9,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Mercedes-Benz USA LLC Vance,,13,26.7,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,Germany
Nat 20 Scientific LLC Buhl,,16,0.5,,,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Jasper Lumber Company LLC Jasper,jasperlumber.com,100,95.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Jones Machine & Welding Oakman,,25,2.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Cooper Marine Inc. Calvert,,10,2.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
J.M. Smucker Co. Decatur Morgan,jmsmucker.com,75,28.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Eli Lilly Huntsville Limestone,lilly.com,450,6000.0,,Limestone,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
AAA USA Mobile,aaausa.com,100,1.4,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Alfa Insurance Montgomery,alfains.com,200,58.0,,,Alabama,Financial Services,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Primo Mobile,,12,5.8,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Daikin America Decatur Morgan,daikin.com,100,29.0,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,Japan
Nelson Brothers LLC Parrish Walker,,5,19.4,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
OCI Alabama LLC Decatur Morgan,,5,19.1,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
SCA Inc. Auburn Lee,,13,19.6,,,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Amazon Oxford Calhoun,amazon.com,70,15.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
APM Terminals Mobile,apmterminals.com,8,58.6,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
CIRG Industries Montgomery,,70,14.3,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Titomic USA Inc. Huntsville Limestone,titomic.com,60,30.0,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
M&J Industries Decatur Morgan,,44,9.6,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Qualico Webb Houston,,20,10.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Derichebourg Mobile,,10,0.2,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
GE Aerospace Auburn Lee,ge.com,10,35.3,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
GE Aerospace Huntsville Limestone,ge.com,84,22.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
SES Inc. Huntsville Madison,,75,17.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
TSA LLC Tuskegee Macon,,30,3.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Kimberly-Clark Mobile,kimberly-clark.com,29,136.7,,Mobile,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Lightsource BP Montgomery,,50,21.5,,,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Toyota Tsusho Huntsville Limestone,toyota.com,150,163.3,,Limestone,Alabama,Energy & Grid,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,Japan
Core Scientific Auburn Lee,corescientific.com,40,424.0,,Lee,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
SmartWiz Birmingham Jefferson,smartwiz.co,66,0.1,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Dotier LLC (Meta) Montgomery,meta.com,70,800.0,,Montgomery,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Prism Systems Mobile,,52,6.4,,,Alabama,Technology,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Hadrian,hadrian.co,350,200,Mesa,Maricopa,Arizona,Aerospace & Defense,2026-01,https://www.azcommerce.com/news-events/news/2026/1/hadrian-ribbon-cutting/,AI-powered factories; Factory 3; 290K sq ft,
ERMCO,ermco-eci.com,500,150,Waddell,Maricopa,Arizona,Energy & Grid,2026-01,https://www.azcommerce.com/news-events/news/2026/1/ermco-manufacturing-facility/,Distribution transformer manufacturing; Jan 2026 announcement; engineering & skilled trades,
KPPC Advanced Chemicals,kanto.co.jp,200,120,Casa Grande,Pinal,Arizona,Semiconductors,2025-12,https://www.areadevelopment.com/newsItems/12-29-2025/kppc-advanced-chemicals-casa-grande-arizona.shtml,Japanese (Kanto Group); ultrapure chemicals for TSMC/Intel/Micron; Phase 1: 80 jobs,Taiwan
Ascent Aviation Services,ascentmro.com,300,70,Marana,Pima,Arizona,Aerospace & Defense,2025-12,https://www.kold.com/2025/12/09/marana-poised-welcome-two-new-wide-body-hangars-hundreds-jobs/,Two new wide-body hangars; 200% capacity increase; avg salary $77K; Dec 2025 opening,
KoMiCo,komico.com,50,60,Mesa,Maricopa,Arizona,Semiconductors,2026-01,https://www.azcommerce.com/news-events/news/2026/1/komico-grand-opening/,Korean; semiconductor equipment cleaning; 200 jobs total,South Korea
DSV,,160,14.5,Mesa,Maricopa,Arizona,Logistics & Distribution,2026-01,https://www.azcommerce.com/news-events/news/2026/1/dsv-groundbreaking/,Danish; regional HQ; 950K sq ft,
AbbVie,abbvie.com,200,175,Arizona,Maricopa,Arizona,Life Sciences & Pharma,2026-01,https://news.abbvie.com/2026-01-12-AbbVie-to-Acquire-Arizona-Manufacturing-Facility,Acquiring West Tempe device site; $175M to modernize; part of $10B+ US manufacturing push,Switzerland
TSMC,https://tsmc.com,6000,165000,Phoenix,Maricopa,Arizona,Semiconductors,2026-01,https://www.cnbc.com/2026/01/16/tsmcs-arizona-chip-expansion-isnt-done-after-us-investment-cfo.html,Taiwanese; $165B total; 6 fabs planned,Taiwan
Amkor Technology,amkor.com,2500,7000,Peoria,Maricopa,Arizona,Semiconductors,2025-10,https://www.azcommerce.com/news-events/news/2025/10/amkor-technology-breaks-ground-on-new-semiconductor-advanced-packaging-and-test-campus-in-peoria-expands-investment-to-7-billion/,Korean; advanced packaging campus,South Korea
Mayo Clinic,mayoclinic.org,3500,1900,Phoenix,Maricopa,Arizona,Life Sciences & Pharma,2025-03,https://www.azcommerce.com/news-events/news/2025/3/mayo-clinic-announces-19-billion-investment-to-expand-in-phoenix/,$1.9B expansion,
Eternity Technologies,,100,20,Phoenix,Maricopa,Arizona,Battery & Storage,2025-03,https://www.azcommerce.com/news-events/news/2025/3/eternity-technologies-to-establish-north-american-headquarters-and-battery-facility-in-phoenix/,NA HQ + battery facility,
Cyclic Materials,https://cyclicmaterials.earth/,50,20,Mesa,Maricopa,Arizona,Battery & Storage,2025-04,https://www.azcommerce.com/news-events/news/2025/4/cyclic-materials-to-invest-over-20-million-in-first-us-commercial-facility-in-mesa/,Canadian; rare earth recycling,Canada
Komatsu,komatsu.com,300,200,Mesa,Maricopa,Arizona,Metals & Steel,2025-04,https://www.azcommerce.com/news-events/news/2025/4/komatsu-breaks-ground-on-major-new-mining-facility-in-mesa/,Japanese; mining equipment,Japan
Applied Materials,appliedmaterials.com,400,200,Chandler,Maricopa,Arizona,Semiconductors,2025-08,https://www.azcommerce.com/news-events/news/2025/8/arizona-commerce-authority-applauds-applied-materials-new-investment-in-chandler/,Semiconductor equipment components; partnership with Apple and TI; part of $400M+ US expansion,
Brewer Science,brewerscience.com,25,10,Chandler,Maricopa,Arizona,Semiconductors,2025-09,https://www.chandleraz.gov/news-center/brewer-science-expands-us-operations-new-chandler-arizona-office-and-lab,Arizona Innovation Center; semiconductor materials R&D; Sept 2025 opening,
Quantum Computing Inc,quantumcomputinginc.com,30,8,Tempe,Maricopa,Arizona,Technology,2025-05,https://quantumcomputinginc.com/news/press-releases/quantum-computing-inc.-hosts-ribbon-cutting-to-celebrate-grand-opening-of-quantum-photonic-chip-foundry-in-tempe-arizona,Quantum photonic chip foundry; ASU Research Park; May 2025 opening; first-of-kind,
KPPC Advanced Chemicals,kanto.co.jp,200,120,Casa Grande,Pinal,Arizona,Semiconductors,2025-12,https://www.areadevelopment.com/newsItems/12-29-2025/kppc-advanced-chemicals-casa-grande-arizona.shtml,Japanese (Kanto Group); ultrapure chemicals for TSMC/Intel/Micron; Phase 1: 80 jobs,Taiwan
Ascent Aviation Services,ascentmro.com,300,70,Marana,Pima,Arizona,Aerospace & Defense,2025-12,https://www.kold.com/2025/12/09/marana-poised-welcome-two-new-wide-body-hangars-hundreds-jobs/,Two new wide-body hangars; 200% capacity increase; avg salary $77K; Dec 2025 opening,
Cognite,cognite.com,100,20,Tempe,Maricopa,Arizona,Technology,2025-12,https://www.cognite.com/en/company/newsroom/cognite-announces-global-arizona-headquarters-with-grand-opening-anchoring-us-operations,Norwegian; global HQ relocation; industrial AI/software; Dec 2025,Norway
AVAIO Digital Partners,avaio.com,200,6000,Little Rock,Pulaski,Arkansas,Data Centers,2026-01,https://www.arkansasedc.com/news-events/newsroom/detail/2026/01/12/avaio-digital-announces-new-large-scale-ai-ready-data-center-and-power-campus-in-little-rock--arkansas,AI-ready data center; $6B phase 1; $21B full build; largest in state history,
L3Harris,l3harris.com,50,193,Camden,Calhoun,Arkansas,Aerospace & Defense,2025-11,https://www.arkansasedc.com/news-events/newsroom/detail/2025/07/17/l3harris-to-build-more-than-20-new-large-solid-rocket-motor-manufacturing-facilities-in-calhoun-county--arkansas,"Solid rocket motor manufacturing; 20+ new facilities; 6x output increase; adds to 1,300 workforce",
R2S,r2s.aero,60,63,East Camden,Ouachita,Arkansas,Aerospace & Defense,2025-11,https://www.arkansasedc.com/news-events/newsroom/detail/2025/11/21/r2s-opens-new-manufacturing-facility-in-east-camden--arkansas,Missile manufacturing; Lockheed supplier; MLRS/TACMS/HIMARS; Nov 2025 opening,
Packaging Specialties,,100,24,Fayetteville,Washington,Arkansas,Packaging,2025-11,https://www.arkansasedc.com/news-events/newsroom/detail/2025/11/17/packaging-specialties-expands-in-fayetteville--arkansas,Manufacturing expansion,
Tate Inc,tateinc.com,52,4,Pocahontas,Randolph,Arkansas,Advanced Manufacturing,2025-12,https://www.arkansasedc.com/news-events/newsroom/detail/2025/12/09/tate-opens-new-manufacturing-facility-in-pocahontas--arkansas,Data center raised floors; new product line; Dec 2025; 200 jobs by 2026,
InnovAsian,innovasiancuisine.com,150,105,Jonesboro,Craighead,Arkansas,Food & Beverage,2026-02,https://www.globenewswire.com/news-release/2026/02/03/3231489/0/en/InnovAsian-to-build-175-000-square-foot-food-manufacturing-facility-in-Jonesboro-Arkansas.html,175K sq ft; Nichirei capital contribution,
Anduril Industries,anduril.com,5500,1000,Long Beach,Los Angeles,California,Aerospace & Defense,2026-01,https://www.gov.ca.gov/2026/01/26/governor-newsom-highlights-anduril-industries-1-billion-expansion-in-southern-california/,Second major SoCal campus; advanced weapons systems; Jan 2026 announcement,
Merck,merck.com,4500,1000,Delaware,New Castle,Delaware,Life Sciences & Pharma,2025,https://www.pharmexec.com/view/merck-planning-70-billion-investment-us-expansion,Biologics and Keytruda production; part of $70B US expansion,
Williams International,williams-int.com,300,1000,Shoal River,Okaloosa,Florida,Aerospace & Defense,2026-02,https://www.fox10tv.com/2026/02/08/officials-more-than-300-jobs-be-created-by-new-manufacturing-facility-okaloosa-county/,Aviation gas turbine engines; 3-phase construction; high-paying jobs,
Otto Aerospace,ottoaviation.com,389,500,Jacksonville,Duval,Florida,Aerospace & Defense,2025-06,https://ottoaerospace.com/news/otto-aviation-announces-new-manufacturing-facility-and-headquarters-in-jacksonville-florida/,Phantom 3500 business jet; Cecil Airport; $430M+ state incentives,
D-Wave Quantum,,50,20.0,Boca Raton,Palm Beach,Florida,Technology,2026-01,https://thequantuminsider.com/2026/01/28/d-wave-moves-headquarters-and-rd-to-florida/,Canadian; HQ relocation from CA; quantum computing; $20M FAU investment,Canada
Rivian,rivian.com,7500,5000,Stanton Springs,Morgan,Georgia,Automotive & EV,2026,https://www.manufacturingdive.com/news/major-factory-construction-projects-to-watch-in-2026/809448/,9M sq ft; 400K vehicles/year by 2028; $1.5B state incentives,
Preciball USA,,50,17.6,,Screven,Georgia,Advanced Manufacturing,2026-02-06,https://www.georgia.org/press-release/preciball-usa-invests-17-million-screven-county,New production facility,
Dongwon Autopart Technology,dongwon.com,200,30,,Emanuel,Georgia,Automotive & EV,2026-02-04,https://www.georgia.org/press-release/200-new-jobs-headed-emanuel-county,Korean; new production facility,South Korea
Grupo Vialume,,150,4.4,,Colquitt-Miller,Georgia,Advanced Manufacturing,2025-12-11,https://www.georgia.org/press-release/grupo-vialume-creates-150-new-manufacturing-jobs-colquitt-miller-county,US manufacturing operations,
BioTouch,,480,12.5,Columbus,Muscogee,Georgia,Life Sciences & Pharma,2025-12-04,https://www.georgia.org/press-release/biotouch-adding-480-jobs-columbus,Healthcare logistics expansion,
Virginia Transformer,vatransformer.com,400,40,,Effingham,Georgia,Energy & Grid,2025-11-20,https://www.georgia.org/press-release/virginia-transformer-create-400-jobs-effingham-expansion,Transformer manufacturing expansion - GRID PLAY,
Salesforce,,200,15,,Georgia,Georgia,Technology,2025-11-18,https://www.georgia.org/press-release/salesforce-expand-georgia-footprint,Expanding Georgia presence,
Socomec,socomec.com,300,10,Suwanee,Gwinnett,Georgia,Advanced Manufacturing,2025-11-12,https://gov.georgia.gov/press-releases/2025-11-12/gov-kemp-socomec-create-300-new-jobs-suwanee,French; electrical components and systems; Nov 2025 announcement,France
Underwood Ammo,underwoodammo.com,120,41,,,Georgia,Advanced Manufacturing,2025-10-01,https://www.georgia.org/press-release/underwood-ammo-create-120-new-manufacturing-jobs,Ammunition manufacturing; new facility,
Anovion Technologies,anoviontech.com,400,800,Bainbridge,Decatur,Georgia,Battery & Storage,2025,https://georgia.org/press-release/anovion-technologies-create-over-400-jobs-bainbridge-invest-800m-manufacturing,Anode materials manufacturing,
stow Group,stow-group.com,200,36,Gordon County,Gordon,Georgia,Advanced Manufacturing,2025-08,https://georgia.org/press-release/stow-group-create-200-jobs-gordon-county,Belgian; industrial storage and automation solutions; Aug 2025 announcement,Belgium
Anduril Industries,https://anduril.com,180,60,,Fulton,Georgia,Aerospace & Defense,2025,https://georgia.org/press-release/anduril-industries-invest-60-million-create-180-new-jobs-fulton-county,Defense technology,
Archer Aviation,archer.com,1000,118,Covington,Newton,Georgia,Aerospace & Defense,2025,https://georgia.org/press-release/electric-vertical-aircraft-manufacturing-company-archer-create-1000-jobs-covington,eVTOL air taxi manufacturing; factory completed Jan 2025; Stellantis partnership,Netherlands
Jack Links,jacklinks.com,800,450,Perry,Houston,Georgia,Food & Beverage,2025,https://georgia.org/press-release/jack-links-create-800-jobs-georgia-manufacturing-facility-houston-county,Meat snacks manufacturing; global HQ company; Quick Start workforce program,
Steves & Sons,stevesdoors.com,170,100,,Cherokee,Georgia,Other,Building Materials,,https://georgia.org/press-release/manufacturer-steves-sons-inc-invest-over-100-million-jackson-county,
GF Casting Solutions,gfcs.com,350,184,Augusta,Richmond,Georgia,Automotive & EV,2025,https://georgia.org/press-release/georgia-lands-350-new-jobs-e-mobility-manufacturing,Swiss; e-mobility lightweight components; automotive/aerospace; $10M NMTC,Switzerland
TMC Transformers,tmctransformers.com,110,15,Waynesboro,Burke,Georgia,Energy & Grid,2025-Q4,https://georgia.org/press-release/tmc-transformers-bring-110-jobs-new-manufacturing-facility-burke-county,International dry-type transformers manufacturer; GRID supply chain,Spain
Socomec,socomec.com,300,10,Suwanee,Gwinnett,Georgia,Energy & Grid,2025-Q4,https://gov.georgia.gov/press-releases/2025-11-12/gov-kemp-socomec-create-300-new-jobs-suwanee,French; electrical components and systems; Nov 2025 announcement,France
stow Group,stow-group.com,200,36,Gordon County,Gordon,Georgia,Advanced Manufacturing,2025-Q4,https://georgia.org/press-release/stow-group-create-200-jobs-gordon-county,Belgian; industrial storage and automation solutions; Aug 2025 announcement,Belgium
Flock Safety,,210,10,Smyrna,Cobb,Georgia,Technology,2025-Q4,https://georgia.org/press-release/georgia-based-flock-safety-opens-new-97000-square-foot-manufacturing-facility,Security camera manufacturing,
